timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,gt_x,gt_y,gt_speed,gt_heading,gt_acc_x,gt_acc_y,gt_acc_z,gt_lat,gt_lon,gnss_lat,gnss_lon,gnss_speed,gnss_heading,gnss_hdop,gnss_num_sats,gnss_fix_quality
0.0,2.264901424590337,-0.007037935319599516,9.839655055700684,-0.0029188008468508473,0.0023329786724499845,0.007248912361881276,0.0,0.0,0.0,0.0,2.2,0.0,9.81,17.385044,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.01,2.2458520709648644,0.002202381072313353,9.806559269131492,0.00682017198624153,-0.001302909516347124,-0.0019026637909144695,0.0,0.00022000000000000003,0.022000000000000002,0.0,2.2,0.0,9.81,17.38504400197961,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.02,2.26943065614302,-0.015039302635933664,9.850740691432415,0.00491438776594386,0.001523740714541491,0.00799701821437659,0.0,0.0006600000000000001,0.044000000000000004,0.0,2.1999999999999997,0.0,9.81,17.385044005938834,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.03,2.295690895692241,-0.08827493072885309,9.81228914924584,0.0008936357518445261,0.0012595453331435418,0.0016943713719981036,0.0,0.00132,0.066,0.0,2.2,0.0,9.81,17.38504401187767,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.04,2.2429753987583005,-0.03466267297583279,9.852486651123353,0.0017216866862485168,-0.0030451031281712795,0.006280765943711542,0.0,0.0022,0.08800000000000001,0.0,2.2000000000000006,0.0,9.81,17.385044019796116,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.05,2.242975891291524,-0.06467122724750746,9.821776655738578,0.0009580099133282832,-0.0022768993827363597,-0.0018365598284366333,0.0,0.0033,0.11000000000000001,0.0,2.1999999999999997,0.0,9.81,17.38504402969417,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.06,2.297376384465222,-0.036078173187542216,9.77836858623111,0.0034350462958676947,0.0025006358617560925,-0.007834225441004131,0.0,0.00462,0.132,0.0,2.2000000000000006,0.0,9.81,17.38504404157184,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.07,2.2730230418745876,-0.0005998729159831795,9.800527512785571,-0.0029975082922784717,0.008560439043207005,-0.006244049391982556,0.0,0.0061600000000000005,0.15400000000000003,0.0,2.2000000000000006,0.0,9.81,17.38504405542912,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.08,2.2359157684219504,-0.02084547492375082,9.81708755873938,0.0053125236668432165,0.005534092906546599,0.014514511676147443,0.0,0.00792,0.17600000000000002,0.0,2.1999999999999993,0.0,9.81,17.385044071266012,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
0.09,2.2662768013075794,0.004442725991922983,9.871045670712457,0.002767829189454064,-0.006145580280587001,-0.0009897014900600866,0.0,0.009899999999999999,0.198,0.0,2.2000000000000006,0.0,9.81,17.385044089082516,78.486671,17.385023737379782,78.48670823565918,0.3738420085930291,-0.056022127804095746,1.075645685761776,9,1
